"Board","Profession","Owner Name","Series","Modifier","Mail Address 1","Mail Address 2","Mail Address 3","Mail City","Mail State","Mail ZIP","Mail County","DBA","Location Address 1","Location Address 2","Location Address 3","Location City","Location State","Location ZIP","Location County","License Number","Primary Status","Secondary Status","Original Licensure Date","Effective Date","Expiration Date","Tax Stamp Designation","Smoking Designation","Retail Tobacco Indicator"
"400","4005","CARROLL DISTRIBUTING CO","KLD","","1553 CHAD CARROLL WAY","","","MELBOURNE","FL","32940","15","CARROLL DISTRIBUTING COMPANY","1553 CHAD CARROLL WAY","","","MELBOURNE","FL","32940","15","WSL1500296","20","20","","09/18/2006","03/31/2025","","",""
"400","4005","FRISCO CONSTRUCTION CO INC","JDBW","","P O BOX 41430","","","JACKSONVILLE","FL","322031430","26","BEAVER STREET FOODS","1741 WEST BEAVER STREET","","","JACKSONVILLE","FL","32201","26","WSL2603324","20","20","","05/23/2016","09/30/2024","","",""
"400","4005","SR PERROTT INC","KLD","","P.O. BOX 836","","","ORMOND BEACH","FL","32175","74","SR PERROTT INC","1280 N US HIGHWAY 1","","","ORMOND BEACH","FL","32174","74","WSL7400544","20","20","","03/08/2007","03/31/2025","","",""
"400","4005","GREAT BAY DISTRIBUTORS INC","KLD","","2750 EAGLE AVE N","","","ST. PETERSBURG","FL","33716","62","GREAT BAY DISTRIBUTORS INC","2750 EAGLE AVE N","","","ST. PETERSBURG","FL","33716","62","WSL6200710","20","20","","12/03/2019","09/30/2025","","",""
"400","4005","GREAT BAY DISTRIBUTORS INC","KLD","","2750 EAGLE AVENUE NORTH","","","ST. PETERSBURG","FL","33716","62","GREAT BAY DISTRIBUTORS INC","3221 GRAND BLVD","","","HOLIDAY","FL","34689","61","WSL6100073","20","20","","12/03/2019","09/30/2025","","",""
"400","4005","SOUTHERN GLAZER'S WINE AND SPIRITS, LLC","KLD","","1600 NW 163 STREET","ATTN TAMMY LOVE","","MIAMI","FL","33169","23","SGWS; SOUTHERN GLAZER'S OF FL; AMER DIST OF JAX; SW&S JAX; NF","6867 STUART LN S","","","JACKSONVILLE","FL","33254","26","WSL2600576","20","20","","02/03/2010","09/30/2025","","",""
"400","4005","SOUTHERN GLAZER'S WINE AND SPIRITS, LLC","KLD","","1600 NW 163 STREET","ATTN: TAMMY LOVE","","MIAMI","FL","33169","23","SGWS; SOUTHERN GLAZER'S OF FL; SW&S TPA CARBO & SW&S CENTRL FL","5802 BENJAMIN CENTER DRIVE","SUITE 110","","TAMPA","FL","33634","39","WSL3900793","20","20","","05/07/2010","09/30/2025","","",""
"400","4005","SOUTHERN GLAZER'S WINE AND SPIRITS, LLC","KLD","","1600 NW 163RD ST","ATTN: TAMMY LOVE","","MIAMI","FL","33169-5641","23","SGWS; SOUTHERN GLAZER'S OF FL; COASTAL MER; S FL LIQ DIST; SW&S","1600 NW 163RD ST","","","MIAMI","FL","33101","23","WSL2300421","20","20","","04/19/2002","03/31/2025","","",""
"400","4005","APOLLO EXPORT WAREHOUSE INC","MEXP","","6950 NW 77TH CT","","","MIAMI","FL","33166","23","APOLLO EXPORT WAREHOUSE INC","6950 NW 77TH CT","","","MIAMI","FL","33166","23","WSL2316026","20","20","","12/01/2009","09/30/2025","","",""
"400","4005","BACARDI BOTTLING CORP","ERB","","P O BOX 26368","","","JACKSONVILLE","FL","32218","26","CASTLETON BEVERAGE CORP","12200 N MAIN STREET","","","JACKSONVILLE","FL","32201","26","WSL2600610","20","20","","03/10/2021","09/30/2024","","",""
